market,date,com.l,idx.l,ncm.l,nrp.l,tot.l,com.s,idx.s,ncm.s,nrp.s,tot.s,com.n,idx.n,ncm.n,nrp.n,tot.n,delta_com.l,delta_idx.l,delta_ncm.l,delta_nrp.l,delta_tot.l,delta_com.s,delta_idx.s,delta_ncm.s,delta_nrp.s,delta_tot.s,delta_com.n,delta_idx.n,delta_ncm.n,delta_nrp.n,delta_tot.n,share_com.l,share_idx.l,share_ncm.l,share_nrp.l,share_tot.l,share_com.s,share_idx.s,share_ncm.s,share_nrp.s,share_tot.s,traders_com.l,traders_idx.l,traders_ncm.l,traders_nrp.l,traders_tot.l,traders_com.s,traders_idx.s,traders_ncm.s,traders_nrp.s,traders_tot.s,open_int,delta_open_int
Coffee C - Ice Futures U.s.,2019-03-05T00:00:00Z,148161,70353,37856,24154,354264,122693,33474,113040,11316,367102,25468,36879,-75184,12838,-12838,2941,3021,-39,-207,7894,2182,2947,697,-109,7796,759,74,-736,-98,98,39.2,18.6,10,6.4,93.6,32.4,8.8,29.9,3,97,140,44,160,NA,427,112,29,161,NA,378,378418,7687
Coffee C - Ice Futures U.s.,2019-03-12T00:00:00Z,151446,66423,38103,26005,358333,122904,31269,116707,11097,373241,28542,35154,-78604,14908,-14908,3285,-3930,247,1851,4070,211,-2206,3667,-219,6140,3074,-1724,-3420,2070,-2070,39.4,17.3,9.9,6.8,93.2,32,8.1,30.4,2.9,97.1,136,44,162,NA,418,105,29,153,NA,365,384338,5920
Coffee C - Ice Futures U.s.,2019-03-19T00:00:00Z,154343,68483,39009,26487,367756,129257,34391,113948,10727,383516,25086,34092,-74939,15760,-15760,2897,2060,906,482,9423,6352,3123,-2760,-370,10275,-3455,-1063,3666,852,-852,39.1,17.4,9.9,6.7,93.3,32.8,8.7,28.9,2.7,97.3,142,44,169,NA,434,116,28,147,NA,371,394244,9905
Coffee C - Ice Futures U.s.,2019-03-26T00:00:00Z,157482,72036,41556,27639,387654,133096,36771,116943,11903,403389,24386,35265,-75387,15736,-15735,3139,3553,2548,1151,19898,3840,2379,2996,1176,19873,-701,1174,-448,-25,25,37.9,17.3,10,6.7,93.3,32,8.9,28.2,2.9,97.1,142,44,182,NA,452,119,31,149,NA,384,415293,21049
Coffee C - Ice Futures U.s.,2019-04-02T00:00:00Z,164948,76207,41831,30494,403631,139578,41399,119134,13369,420756,25370,34808,-77303,17125,-17125,7466,4171,274,2855,15977,6482,4628,2191,1466,17367,984,-457,-1917,1389,-1390,38,17.6,9.6,7,93,32.2,9.5,27.4,3.1,96.9,141,44,181,NA,455,115,30,164,NA,388,434125,18833
Coffee C - Ice Futures U.s.,2019-04-09T00:00:00Z,155200,72314,42250,29633,391409,135950,36798,113401,13248,407794,19250,35516,-71151,16385,-16385,-9749,-3893,419,-861,-12222,-3628,-4601,-5734,-121,-12963,-6121,708,6153,-740,741,36.9,17.2,10,7,93,32.3,8.7,26.9,3.1,96.9,141,44,178,NA,456,118,26,155,NA,385,421042,-13083
Coffee C - Ice Futures U.s.,2019-04-16T00:00:00Z,154243,71163,41780,31239,366093,129926,33824,120847,13828,383504,24317,37339,-79067,17411,-17411,-957,-1151,-470,1606,-25316,-6024,-2974,7446,580,-24290,5067,1823,-7916,1026,-1026,38.8,17.9,10.5,7.9,92.1,32.7,8.5,30.4,3.5,96.5,139,46,166,NA,433,114,27,157,NA,378,397332,-23710
Coffee C - Ice Futures U.s.,2019-04-23T00:00:00Z,152019,69912,42226,25959,366476,128673,31397,118072,11973,380461,23346,38515,-75846,13986,-13985,-2224,-1252,446,-5281,383,-1253,-2427,-2775,-1855,-3042,-971,1175,3221,-3426,3425,38.7,17.8,10.8,6.6,93.4,32.8,8,30.1,3.1,96.9,134,48,165,NA,425,112,25,146,NA,356,392435,-4898
Coffee C - Ice Futures U.s.,2019-04-30T00:00:00Z,147533,69423,43904,25195,361867,129134,30483,114749,11688,375374,18399,38940,-70845,13507,-13507,-4486,-489,1677,-764,-4609,461,-914,-3323,-285,-5088,-4947,425,5000,-479,479,38.1,17.9,11.3,6.5,93.5,33.4,7.9,29.6,3,97,135,46,171,NA,425,113,25,141,NA,359,387062,-5373
Coffee C - Ice Futures U.s.,2019-05-07T00:00:00Z,162202,72262,42464,26754,386852,137973,34166,120670,10874,402733,24229,38096,-78206,15880,-15881,14669,2839,-1440,1559,24985,8838,3682,5921,-814,27359,5831,-843,-7361,2373,-2374,39.2,17.5,10.3,6.5,93.5,33.4,8.3,29.2,2.6,97.4,135,46,168,NA,437,112,28,162,NA,373,413606,26545
Coffee C - Ice Futures U.s.,2019-05-14T00:00:00Z,154806,72676,42153,26763,378847,134908,34125,115474,11891,393719,19898,38551,-73321,14872,-14872,-7395,413,-311,9,-8005,-3065,-40,-5196,1017,-9013,-4330,453,4885,-1008,1008,38.2,17.9,10.4,6.6,93.4,33.3,8.4,28.5,2.9,97.1,135,46,162,NA,428,108,30,155,NA,359,405610,-7996
Coffee C - Ice Futures U.s.,2019-05-21T00:00:00Z,154569,70548,45477,24573,382527,135887,32112,115926,11242,395858,18682,38436,-70449,13331,-13331,-238,-2128,3324,-2190,3680,979,-2014,451,-648,2138,-1217,-114,2873,-1542,1542,38,17.3,11.2,6,94,33.4,7.9,28.5,2.8,97.2,136,46,168,NA,442,111,28,153,NA,360,407100,1490
Coffee C - Ice Futures U.s.,2019-05-28T00:00:00Z,157153,73673,45289,23254,393258,147496,34067,107730,10076,406436,9657,39606,-62441,13178,-13178,2584,3125,-188,-1319,10731,11608,1956,-8195,-1166,10578,-9024,1169,8007,-153,153,37.7,17.7,10.9,5.6,94.4,35.4,8.2,25.9,2.4,97.6,136,47,161,NA,432,117,28,145,NA,361,416512,9411
Coffee C - Ice Futures U.s.,2019-06-04T00:00:00Z,149723,74585,43115,21423,380235,159220,32572,84227,12827,388832,-9497,42013,-41112,8596,-8597,-7430,912,-2174,-1831,-13022,11725,-1495,-23503,2751,-17604,-19155,2407,21329,-4582,4582,37.3,18.6,10.7,5.3,94.7,39.6,8.1,21,3.2,96.8,137,46,155,NA,424,122,28,126,NA,360,401659,-14853
Coffee C - Ice Futures U.s.,2019-06-11T00:00:00Z,145048,69493,34620,25224,342462,158600,28757,73984,13045,354641,-13552,40736,-39364,12179,-12179,-4675,-5092,-8495,3800,-37773,-621,-3815,-10243,218,-34190,-4054,-1277,1748,3582,-3583,39.4,18.9,9.4,6.9,93.1,43.1,7.8,20.1,3.5,96.5,136,46,147,NA,407,117,28,122,NA,356,367686,-33973
Coffee C - Ice Futures U.s.,2019-06-18T00:00:00Z,135411,68838,35312,19720,313399,144940,28327,75480,10532,322586,-9529,40511,-40168,9188,-9187,-9637,-655,692,-5504,-29063,-13659,-430,1497,-2512,-32055,4022,-225,-805,-2992,2992,40.6,20.7,10.6,5.9,94.1,43.5,8.5,22.7,3.2,96.8,138,44,137,NA,394,118,26,127,NA,337,333118,-34568
Coffee C - Ice Futures U.s.,2019-06-25T00:00:00Z,134202,69083,35506,17960,319438,148571,26707,71082,10391,327007,-14369,42376,-35576,7569,-7569,-1209,245,194,-1760,6039,3630,-1620,-4398,-142,4421,-4839,1865,4592,-1618,1618,39.8,20.5,10.5,5.3,94.7,44,7.9,21.1,3.1,96.9,138,44,137,NA,405,117,27,128,NA,336,337398,4279
Coffee C - Ice Futures U.s.,2019-07-02T00:00:00Z,132156,66802,33322,18497,312840,158670,23503,56727,11877,319460,-26514,43299,-23405,6620,-6620,-2047,-2280,-2184,537,-6598,10099,-3204,-14355,1486,-7547,-12146,924,12171,-949,949,39.9,20.2,10.1,5.6,94.4,47.9,7.1,17.1,3.6,96.4,138,44,146,NA,412,119,25,119,NA,341,331337,-6061
Coffee C - Ice Futures U.s.,2019-07-09T00:00:00Z,125585,69868,33310,18620,310827,160573,24021,51113,11676,317772,-34988,45847,-17803,6944,-6945,-6570,3066,-12,123,-2012,1904,518,-5614,-201,-1688,-8474,2548,5602,324,-324,38.1,21.2,10.1,5.7,94.3,48.7,7.3,15.5,3.5,96.5,135,46,141,NA,419,122,25,125,NA,357,329448,-1889
Coffee C - Ice Futures U.s.,2019-07-16T00:00:00Z,123164,70866,32382,18584,307305,156770,24106,53245,10875,315014,-33606,46760,-20863,7709,-7709,-2421,997,-928,-36,-3523,-3803,84,2132,-801,-2758,1382,913,-3060,765,-765,37.8,21.7,9.9,5.7,94.3,48.1,7.4,16.3,3.3,96.7,131,46,133,NA,394,119,24,117,NA,341,325889,-3559
Coffee C - Ice Futures U.s.,2019-07-23T00:00:00Z,125865,72177,32225,18920,312112,155945,26448,55893,10901,320131,-30080,45729,-23668,8019,-8019,2700,1312,-156,335,4808,-825,2342,2647,26,5117,3525,-1030,-2803,309,-309,38,21.8,9.7,5.7,94.3,47.1,8,16.9,3.3,96.7,135,48,133,NA,409,120,25,126,NA,351,331032,5143
Coffee C - Ice Futures U.s.,2019-07-30T00:00:00Z,130342,73631,32825,21748,321981,149599,30719,65395,12833,330896,-19257,42912,-32570,8915,-8915,4477,1454,600,2828,9869,-6346,4271,9502,1932,10765,10823,-2817,-8902,896,-896,37.9,21.4,9.5,6.3,93.7,43.5,8.9,19,3.7,96.3,134,47,146,NA,409,118,28,115,NA,348,343729,12697
Coffee C - Ice Futures U.s.,2019-08-06T00:00:00Z,128650,77660,34667,20566,336222,142609,35441,71250,12244,344544,-13959,42219,-36583,8322,-8322,-1691,4029,1842,-1182,14241,-6991,4723,5855,-589,13648,5300,-694,-4013,-593,593,36.1,21.8,9.7,5.8,94.2,40,9.9,20,3.4,96.6,135,46,153,NA,408,119,25,111,NA,340,356788,13059
Coffee C - Ice Futures U.s.,2019-08-13T00:00:00Z,118713,65438,32686,20777,286746,127539,23279,74757,12039,295484,-8826,42159,-42071,8738,-8738,-9937,-12222,-1981,211,-49477,-15069,-12163,3507,-205,-49061,5132,-59,-5488,416,-416,38.6,21.3,10.6,6.8,93.2,41.5,7.6,24.3,3.9,96.1,128,45,125,NA,373,113,25,113,NA,320,307523,-49266
Coffee C - Ice Futures U.s.,2019-08-20T00:00:00Z,118690,63351,32223,21231,288001,119992,22736,79820,12946,296285,-1302,40615,-47597,8285,-8284,-23,-2087,-463,454,1255,-7547,-543,5063,908,802,7524,-1544,-5526,-454,453,38.4,20.5,10.4,6.9,93.1,38.8,7.4,25.8,4.2,95.8,125,44,128,NA,385,107,24,128,NA,333,309232,1709
Coffee C - Ice Futures U.s.,2019-08-27T00:00:00Z,113445,65374,33080,19723,285578,116190,24788,79229,11415,293886,-2745,40586,-46149,8308,-8308,-5245,2023,858,-1508,-2423,-3802,2052,-591,-1531,-2399,-1443,-29,1449,23,-24,37.2,21.4,10.8,6.5,93.5,38.1,8.1,26,3.7,96.3,124,44,141,NA,387,102,22,113,NA,313,305301,-3930
Coffee C - Ice Futures U.s.,2019-09-03T00:00:00Z,120576,66133,32357,19245,298665,117533,26390,84366,10022,307888,3043,39743,-52009,9223,-9223,7132,759,-724,-478,13087,1343,1602,5137,-1393,14002,5789,-843,-5861,915,-915,37.9,20.8,10.2,6.1,93.9,37,8.3,26.5,3.2,96.8,124,44,139,NA,393,100,23,127,NA,324,317910,12608
Coffee C - Ice Futures U.s.,2019-09-10T00:00:00Z,118941,65220,33581,19458,302883,117465,26074,83883,9779,312562,1476,39146,-50302,9679,-9679,-1635,-913,1224,214,4217,-67,-316,-483,-243,4674,-1568,-597,1707,457,-457,36.9,20.2,10.4,6,94,36.4,8.1,26,3,97,123,44,143,NA,394,106,24,122,NA,328,322341,4431
Coffee C - Ice Futures U.s.,2019-09-17T00:00:00Z,117201,64474,30434,21000,283078,127466,22219,72490,10934,293145,-10265,42255,-42056,10066,-10067,-1740,-747,-3147,1542,-19805,10001,-3855,-11393,1155,-19417,-11741,3108,8246,387,-388,38.5,21.2,10,6.9,93.1,41.9,7.3,23.8,3.6,96.4,120,44,135,NA,373,103,23,113,NA,310,304078,-18263
