market,date,com.l,idx.l,ncm.l,nrp.l,tot.l,com.s,idx.s,ncm.s,nrp.s,tot.s,com.n,idx.n,ncm.n,nrp.n,tot.n,delta_com.l,delta_idx.l,delta_ncm.l,delta_nrp.l,delta_tot.l,delta_com.s,delta_idx.s,delta_ncm.s,delta_nrp.s,delta_tot.s,delta_com.n,delta_idx.n,delta_ncm.n,delta_nrp.n,delta_tot.n,share_com.l,share_idx.l,share_ncm.l,share_nrp.l,share_tot.l,share_com.s,share_idx.s,share_ncm.s,share_nrp.s,share_tot.s,traders_com.l,traders_idx.l,traders_ncm.l,traders_nrp.l,traders_tot.l,traders_com.s,traders_idx.s,traders_ncm.s,traders_nrp.s,traders_tot.s,open_int,delta_open_int
Lean Hogs - Chicago Mercantile Exchange,2022-01-25T00:00:00Z,39347,98429,67356,25908,288578,154315,10624,25258,40842,273644,-114968,87805,42098,-14934,14934,3646,3128,14948,4288,33730,20488,1490,1067,2966,35052,-16842,1638,13881,1322,-1322,12.5,31.3,21.4,8.2,91.8,49.1,3.4,8,13,87,74,45,115,NA,279,88,17,54,NA,232,314486,38018
Lean Hogs - Chicago Mercantile Exchange,2022-02-01T00:00:00Z,41095,97673,72607,26819,302255,159060,11087,27017,41030,288044,-117965,86586,45590,-14211,14211,1748,-756,5251,911,13677,4745,463,1759,187,14400,-2997,-1219,3492,724,-723,12.5,29.7,22.1,8.1,91.9,48.3,3.4,8.2,12.5,87.5,73,46,117,NA,286,89,16,60,NA,235,329074,14588
Lean Hogs - Chicago Mercantile Exchange,2022-02-08T00:00:00Z,44972,97568,84587,28104,330052,172818,11705,28730,41977,316179,-127846,85863,55857,-13873,13873,3877,-105,11980,1285,27797,13758,618,1713,948,28135,-9881,-723,10267,337,-338,12.6,27.2,23.6,7.8,92.2,48.3,3.3,8,11.7,88.3,77,45,135,NA,312,91,15,64,NA,246,358156,29082
Lean Hogs - Chicago Mercantile Exchange,2022-02-15T00:00:00Z,48661,98756,84165,27835,339782,177753,12975,27086,41603,326014,-129092,85781,57079,-13768,13768,3689,1188,-422,-269,9729,4935,1270,-1644,-375,9835,-1246,-82,1222,106,-106,13.2,26.9,22.9,7.6,92.4,48.4,3.5,7.4,11.3,88.7,80,46,135,NA,308,90,16,49,NA,232,367616,9460
Lean Hogs - Chicago Mercantile Exchange,2022-02-22T00:00:00Z,51682,97945,83163,28275,333855,181234,11224,27117,41489,320641,-129552,86721,56046,-13214,13214,3021,-811,-1002,440,-5927,3481,-1750,31,-114,-5373,-460,939,-1033,554,-554,14.3,27,23,7.8,92.2,50,3.1,7.5,11.5,88.5,80,46,132,NA,311,92,18,55,NA,234,362129,-5487
Lean Hogs - Chicago Mercantile Exchange,2022-03-01T00:00:00Z,50549,96685,74588,28993,327862,174894,11502,24375,40044,316811,-124345,85183,50213,-11051,11051,-1133,-1260,-8575,719,-5993,-6341,278,-2742,-1445,-3830,5208,-1538,-5833,2164,-2163,14.2,27.1,20.9,8.1,91.9,49,3.2,6.8,11.2,88.8,80,44,120,NA,294,88,19,56,NA,232,356855,-5274
Lean Hogs - Chicago Mercantile Exchange,2022-03-08T00:00:00Z,47361,95975,62701,26720,297528,162705,10882,22230,36941,287307,-115344,85093,40471,-10221,10221,-3188,-710,-11887,-2273,-30334,-12189,-621,-2145,-3103,-29504,9001,-89,-9742,830,-830,14.6,29.6,19.3,8.2,91.8,50.2,3.4,6.9,11.4,88.6,76,43,98,NA,262,84,18,59,NA,218,324248,-32607
Lean Hogs - Chicago Mercantile Exchange,2022-03-15T00:00:00Z,48876,104412,50035,27310,295314,160888,11787,20894,37065,285559,-112012,92625,29141,-9755,9755,1515,8437,-12666,590,-2214,-1817,905,-1336,124,-1748,3332,7532,-11330,466,-466,15.1,32.4,15.5,8.5,91.5,49.9,3.7,6.5,11.5,88.5,79,45,95,NA,271,88,20,60,NA,231,322624,-1624
Lean Hogs - Chicago Mercantile Exchange,2022-03-22T00:00:00Z,46489,103384,49038,27916,287945,155861,11405,21504,38058,277803,-109372,91979,27534,-10142,10142,-2387,-1028,-997,606,-7369,-5027,-382,609,994,-7757,2640,-646,-1606,-388,388,14.7,32.7,15.5,8.8,91.2,49.3,3.6,6.8,12,88,81,45,98,NA,274,88,19,58,NA,229,315861,-6763
Lean Hogs - Chicago Mercantile Exchange,2022-03-29T00:00:00Z,43388,103902,55832,28510,300099,160928,12519,19188,38998,289612,-117540,91383,36644,-10488,10487,-3101,518,6794,594,12155,5067,1114,-2315,940,11809,-8168,-596,9109,-346,346,13.2,31.6,17,8.7,91.3,49,3.8,5.8,11.9,88.1,81,45,119,NA,286,92,19,46,NA,234,328610,12749
Lean Hogs - Chicago Mercantile Exchange,2022-04-05T00:00:00Z,44997,99086,49272,27176,288281,150683,12341,21735,35772,279684,-105686,86745,27537,-8596,8597,1609,-4816,-6560,-1335,-11819,-10244,-178,2547,-3226,-9927,11853,-4638,-9107,1891,-1892,14.3,31.4,15.6,8.6,91.4,47.8,3.9,6.9,11.3,88.7,80,44,100,NA,275,89,20,57,NA,233,315456,-13153
Lean Hogs - Chicago Mercantile Exchange,2022-04-12T00:00:00Z,46361,98137,47950,28974,290788,150000,13490,22361,35570,284192,-103639,84647,25589,-6596,6596,1364,-949,-1323,1798,2508,-683,1149,627,-202,4508,2047,-2098,-1950,2000,-2000,14.5,30.7,15,9.1,90.9,46.9,4.2,7,11.1,88.9,83,44,104,NA,276,89,20,55,NA,233,319762,4306
Lean Hogs - Chicago Mercantile Exchange,2022-04-19T00:00:00Z,41559,97011,50763,29457,269425,148427,12278,22703,35381,263501,-106868,84733,28060,-5924,5924,-4802,-1126,2813,483,-21363,-1573,-1212,342,-189,-20691,-3229,86,2471,672,-672,13.9,32.5,17,9.9,90.1,49.7,4.1,7.6,11.8,88.2,83,44,102,NA,268,91,19,46,NA,227,298882,-20880
Lean Hogs - Chicago Mercantile Exchange,2022-04-26T00:00:00Z,42914,95831,43547,27222,263934,135180,13445,26842,34046,257110,-92266,82386,16705,-6824,6824,1355,-1180,-7216,-2235,-5491,-13247,1167,4139,-1335,-6391,14602,-2347,-11355,-900,900,14.7,32.9,15,9.3,90.7,46.4,4.6,9.2,11.7,88.3,85,45,81,NA,262,89,21,64,NA,232,291155,-7726
Lean Hogs - Chicago Mercantile Exchange,2022-05-03T00:00:00Z,48064,93882,36929,26549,264418,121838,19957,31743,31886,259081,-73774,73925,5186,-5337,5337,5150,-1949,-6618,-673,484,-13342,6512,4900,-2160,1971,18492,-8461,-11518,1487,-1487,16.5,32.3,12.7,9.1,90.9,41.9,6.9,10.9,11,89,88,44,80,NA,262,91,20,69,NA,240,290967,189
Lean Hogs - Chicago Mercantile Exchange,2022-05-10T00:00:00Z,50050,92861,29623,26515,259495,116005,18497,32212,32335,253675,-65955,74364,-2589,-5820,5820,1986,-1021,-7306,-34,-4923,-5834,-1460,469,449,-5406,7820,439,-7775,-483,483,17.5,32.5,10.4,9.3,90.7,40.6,6.5,11.3,11.3,88.7,95,41,85,NA,270,92,18,69,NA,247,286010,-4957
Lean Hogs - Chicago Mercantile Exchange,2022-05-17T00:00:00Z,49501,92464,22238,26144,247987,107114,17977,34102,31153,242977,-57613,74487,-11864,-5009,5010,-549,-397,-7385,-372,-11508,-8891,-520,1890,-1182,-10698,8342,123,-9275,810,-810,18.1,33.7,8.1,9.5,90.5,39.1,6.6,12.4,11.4,88.6,90,42,77,NA,256,90,20,71,NA,239,274130,-11880
Lean Hogs - Chicago Mercantile Exchange,2022-05-24T00:00:00Z,48184,92488,18297,24456,241555,105961,17653,28999,30811,235201,-57777,74835,-10702,-6355,6354,-1318,24,-3941,-1688,-6431,-1153,-324,-5103,-343,-7777,-165,348,1162,-1345,1346,18.1,34.8,6.9,9.2,90.8,39.8,6.6,10.9,11.6,88.4,88,41,78,NA,255,90,20,64,NA,239,266011,-8119
Lean Hogs - Chicago Mercantile Exchange,2022-05-31T00:00:00Z,46379,92383,20749,22813,239168,105313,17849,28664,30497,231484,-58934,74534,-7915,-7684,7684,-1804,-105,2452,-1643,-2387,-648,196,-335,-314,-3716,-1156,-301,2787,-1329,1329,17.7,35.3,7.9,8.7,91.3,40.2,6.8,10.9,11.6,88.4,89,40,78,NA,253,89,20,61,NA,228,261981,-4030
Lean Hogs - Chicago Mercantile Exchange,2022-06-07T00:00:00Z,43654,96400,21275,23444,241388,105842,17265,29890,31775,233057,-62188,79135,-8615,-8331,8331,-2726,4017,526,631,2220,529,-584,1226,1279,1573,-3255,4601,-700,-648,647,16.5,36.4,8,8.9,91.1,40,6.5,11.3,12,88,91,39,75,NA,249,89,24,62,NA,229,264832,2851
Lean Hogs - Chicago Mercantile Exchange,2022-06-14T00:00:00Z,45631,96689,19599,22759,236879,104860,17593,30910,31315,228323,-59229,79096,-11311,-8556,8556,1977,289,-1676,-684,-4509,-982,328,1020,-460,-4733,2959,-39,-2696,-224,224,17.6,37.2,7.5,8.8,91.2,40.4,6.8,11.9,12.1,87.9,87,40,80,NA,254,89,21,66,NA,241,259639,-5193
Lean Hogs - Chicago Mercantile Exchange,2022-06-21T00:00:00Z,39045,93856,21906,22165,216562,104153,14384,25128,33308,205419,-65108,79472,-3222,-11143,11143,-6585,-2833,2307,-594,-20318,-707,-3208,-5783,1993,-22905,-5878,375,8090,-2587,2587,16.4,39.3,9.2,9.3,90.7,43.6,6,10.5,14,86,79,41,62,NA,232,84,20,66,NA,217,238727,-20912
Lean Hogs - Chicago Mercantile Exchange,2022-06-28T00:00:00Z,38555,92737,23156,21216,220328,104666,13358,25604,32034,209509,-66111,79379,-2448,-10818,10819,-490,-1120,1250,-949,3766,514,-1026,476,-1273,4090,-1004,-94,774,324,-324,16,38.4,9.6,8.8,91.2,43.3,5.5,10.6,13.3,86.7,80,44,76,NA,246,88,21,55,NA,226,241543,2817
Lean Hogs - Chicago Mercantile Exchange,2022-07-05T00:00:00Z,40924,93221,24058,20471,231074,104737,14436,28107,31392,220152,-63813,78785,-4049,-10921,10922,2369,484,902,-745,10746,71,1078,2504,-642,10644,2298,-594,-1602,-103,102,16.3,37.1,9.6,8.1,91.9,41.6,5.7,11.2,12.5,87.5,87,45,76,NA,258,88,22,63,NA,233,251545,10001
Lean Hogs - Chicago Mercantile Exchange,2022-07-12T00:00:00Z,40684,90934,29034,21921,234464,113870,12343,23394,32966,223418,-73186,78591,5640,-11045,11046,-240,-2287,4976,1450,3390,9133,-2093,-4714,1574,3266,-9373,-194,9690,-124,124,15.9,35.5,11.3,8.6,91.4,44.4,4.8,9.1,12.9,87.1,82,43,83,NA,248,90,24,53,NA,231,256385,4840
Lean Hogs - Chicago Mercantile Exchange,2022-07-19T00:00:00Z,41395,89700,34685,24062,233789,118170,11973,25106,34593,223258,-76775,77727,9579,-10531,10531,711,-1233,5651,2141,-674,4300,-370,1713,1627,-160,-3589,-863,3938,514,-514,16.1,34.8,13.5,9.3,90.7,45.8,4.6,9.7,13.4,86.6,82,46,83,NA,249,89,20,52,NA,219,257851,1466
Lean Hogs - Chicago Mercantile Exchange,2022-07-26T00:00:00Z,38623,90519,43172,23011,247448,121873,12591,26966,33894,236564,-83250,77928,16206,-10883,10884,-2772,818,8486,-1051,13659,3703,618,1859,-699,13306,-6475,200,6627,-352,353,14.3,33.5,16,8.5,91.5,45.1,4.7,10,12.5,87.5,85,46,95,NA,271,94,23,56,NA,239,270459,12608
Lean Hogs - Chicago Mercantile Exchange,2022-08-02T00:00:00Z,38939,94697,49317,23817,262945,129825,12711,29024,35211,251551,-90886,81986,20293,-11394,11394,316,4178,6145,806,15497,7952,119,2058,1317,14986,-7636,4059,4087,-511,511,13.6,33,17.2,8.3,91.7,45.3,4.4,10.1,12.3,87.7,86,48,104,NA,286,96,23,60,NA,245,286762,16303
Lean Hogs - Chicago Mercantile Exchange,2022-08-09T00:00:00Z,39714,96883,58549,26415,283951,143937,13701,27535,36388,273979,-104223,83182,31014,-9973,9972,775,2186,9232,2598,21007,14112,991,-1489,1177,22428,-13337,1195,10721,1421,-1421,12.8,31.2,18.9,8.5,91.5,46.4,4.4,8.9,11.7,88.3,84,48,112,NA,291,98,23,58,NA,245,310366,23604
Lean Hogs - Chicago Mercantile Exchange,2022-08-16T00:00:00Z,37623,96211,64108,24999,270972,145805,11294,29251,36590,259380,-108182,84917,34857,-11591,11592,-2092,-672,5559,-1416,-12980,1868,-2407,1716,203,-14599,-3960,1735,3843,-1619,1619,12.7,32.5,21.7,8.4,91.6,49.3,3.8,9.9,12.4,87.6,90,48,109,NA,291,101,22,55,NA,238,295970,-14396
Lean Hogs - Chicago Mercantile Exchange,2022-08-23T00:00:00Z,38814,94292,54853,23260,257537,135480,11463,31114,33161,247636,-96666,82829,23739,-9901,9901,1191,-1919,-9255,-1739,-13434,-10325,169,1863,-3429,-11744,11516,-2088,-11118,1690,-1690,13.8,33.6,19.5,8.3,91.7,48.2,4.1,11.1,11.8,88.2,90,48,80,NA,269,103,19,61,NA,233,280797,-15173
Live Cattle - Chicago Mercantile Exchange,2018-01-02T00:00:00Z,49217,135471,89660,29796,359292,226644,3817,20687,52996,336092,-177427,131654,68973,-23200,23200,964,1539,-342,-248,7867,1171,-259,2246,-1245,8864,-207,1798,-2588,997,-997,12.6,34.8,23,7.7,92.3,58.3,1,5.3,13.6,86.4,120,28,125,NA,347,165,8,83,NA,341,389088,7619
Live Cattle - Chicago Mercantile Exchange,2018-01-09T00:00:00Z,50613,133617,90275,31247,365588,221883,2493,25547,55829,341006,-171270,131124,64728,-24582,24582,1395,-1854,616,1451,6297,-4760,-1324,4860,2833,4914,6155,-530,-4244,-1382,1383,12.8,33.7,22.7,7.9,92.1,55.9,0.6,6.4,14.1,85.9,125,28,131,NA,357,167,9,88,NA,359,396835,7747
Live Cattle - Chicago Mercantile Exchange,2018-01-16T00:00:00Z,53992,133631,86504,32950,371844,221564,1706,28965,54842,349951,-167572,131925,57539,-21892,21893,3379,13,-3771,1703,6256,-319,-788,3418,-987,8946,3698,801,-7189,2690,-2690,13.3,33,21.4,8.1,91.9,54.7,0.4,7.2,13.5,86.5,135,28,128,NA,368,167,6,89,NA,355,404794,7959
Live Cattle - Chicago Mercantile Exchange,2018-01-23T00:00:00Z,52672,135778,94652,29305,381097,226951,2363,26011,57081,353321,-174279,133415,68641,-27776,27776,-1320,2147,8148,-3645,9253,5387,658,-2954,2239,3369,-6707,1489,11102,-5884,5884,12.8,33.1,23.1,7.1,92.9,55.3,0.6,6.3,13.9,86.1,135,28,125,NA,372,165,7,97,NA,354,410402,5608
Live Cattle - Chicago Mercantile Exchange,2018-01-30T00:00:00Z,52977,138315,100445,30170,392774,233799,2399,27551,58158,364786,-180822,135916,72894,-27988,27988,305,2537,5793,865,11677,6849,36,1539,1077,11465,-6544,2501,4254,-212,212,12.5,32.7,23.7,7.1,92.9,55.3,0.6,6.5,13.8,86.2,128,28,133,NA,375,164,7,96,NA,353,422944,12542
Live Cattle - Chicago Mercantile Exchange,2018-02-06T00:00:00Z,52871,139576,107120,29892,390373,241551,1389,27652,58867,361399,-188680,138187,79468,-28975,28974,-106,1261,6675,-278,-2400,7751,-1010,102,708,-3387,-7857,2271,6573,-986,987,12.6,33.2,25.5,7.1,92.9,57.5,0.3,6.6,14,86,122,28,133,NA,362,171,5,87,NA,350,420265,-2679
Live Cattle - Chicago Mercantile Exchange,2018-02-13T00:00:00Z,49631,138030,107175,29916,387041,236927,1343,28498,57983,358973,-187296,136687,78677,-28067,28068,-3240,-1546,55,24,-3332,-4623,-46,845,-883,-2425,1383,-1500,-790,907,-907,11.9,33.1,25.7,7.2,92.8,56.8,0.3,6.8,13.9,86.1,125,28,131,NA,363,174,4,91,NA,348,416957,-3308
Live Cattle - Chicago Mercantile Exchange,2018-02-20T00:00:00Z,44899,139500,117426,30388,396757,240059,1470,31000,59684,367460,-195160,138030,86426,-29296,29297,-4731,1470,10252,472,9716,3132,127,2502,1701,8487,-7863,1343,7750,-1229,1229,10.5,32.7,27.5,7.1,92.9,56.2,0.3,7.3,14,86,122,28,141,NA,369,171,6,90,NA,347,427145,10188
Live Cattle - Chicago Mercantile Exchange,2018-02-27T00:00:00Z,44247,142690,116613,30846,399114,239783,2782,32093,59739,370221,-195536,139908,84520,-28893,28893,-653,3190,-813,459,2357,-277,1312,1093,55,2761,-376,1878,-1906,404,-404,10.3,33.2,27.1,7.2,92.8,55.8,0.6,7.5,13.9,86.1,125,27,130,NA,375,171,8,103,NA,353,429960,2815
Live Cattle - Chicago Mercantile Exchange,2018-03-06T00:00:00Z,46030,145067,105566,31829,395852,234550,4882,29380,59680,368002,-188520,140185,76186,-27851,27850,1783,2377,-11048,983,-3262,-5233,2100,-2712,-60,-2219,7016,277,-8336,1043,-1043,10.8,33.9,24.7,7.4,92.6,54.8,1.1,6.9,14,86,125,28,136,NA,371,171,9,90,NA,356,427681,-2279
Live Cattle - Chicago Mercantile Exchange,2018-03-13T00:00:00Z,48470,140179,95565,33646,385392,227047,1675,27756,61383,357655,-178577,138504,67809,-27737,27737,2441,-4888,-10001,1817,-10460,-7503,-3207,-1625,1704,-10347,9944,-1681,-8376,113,-113,11.6,33.5,22.8,8,92,54.2,0.4,6.6,14.6,85.4,129,28,136,NA,377,172,10,92,NA,371,419038,-8644
Live Cattle - Chicago Mercantile Exchange,2018-03-20T00:00:00Z,50932,139390,85322,34437,385479,214163,2113,34608,59196,360720,-163231,137277,50714,-24759,24759,2462,-789,-10244,791,87,-12884,438,6853,-2187,3065,15346,-1227,-17097,2978,-2978,12.1,33.2,20.3,8.2,91.8,51,0.5,8.2,14.1,85.9,125,30,138,NA,368,159,10,97,NA,369,419916,878
Live Cattle - Chicago Mercantile Exchange,2018-03-27T00:00:00Z,60977,136907,78399,37018,394140,203202,2152,48869,59077,372081,-142225,134755,29530,-22059,22059,10045,-2483,-6923,2581,8661,-10961,39,14261,-119,11361,21006,-2522,-21184,2700,-2700,14.1,31.8,18.2,8.6,91.4,47.1,0.5,11.3,13.7,86.3,132,30,116,NA,357,150,10,97,NA,348,431158,11242
Live Cattle - Chicago Mercantile Exchange,2018-04-03T00:00:00Z,65290,131536,81381,38981,401223,195107,2064,62447,57570,382633,-129817,129472,18934,-18589,18590,4313,-5371,2983,1963,7083,-8095,-88,13578,-1507,10553,12408,-5283,-10595,3470,-3470,14.8,29.9,18.5,8.9,91.1,44.3,0.5,14.2,13.1,86.9,140,30,120,NA,365,154,9,101,NA,357,440204,9046
Live Cattle - Chicago Mercantile Exchange,2018-04-10T00:00:00Z,61082,127469,82311,39732,369585,183559,2114,71413,53507,355811,-122477,125355,10898,-13775,13774,-4208,-4067,929,751,-31638,-11548,50,8966,-4064,-26823,7340,-4117,-8037,4815,-4815,14.9,31.1,20.1,9.7,90.3,44.8,0.5,17.4,13.1,86.9,134,31,110,NA,345,156,9,99,NA,345,409317,-30887
Live Cattle - Chicago Mercantile Exchange,2018-04-17T00:00:00Z,64920,122836,81369,38108,367585,177908,1922,76484,50919,354774,-112988,120914,4885,-12811,12811,3839,-4633,-942,-1624,-2000,-5651,-192,5071,-2587,-1036,9490,-4441,-6013,963,-964,16,30.3,20.1,9.4,90.6,43.9,0.5,18.9,12.6,87.4,135,32,122,NA,359,161,8,103,NA,357,405694,-3624
Live Cattle - Chicago Mercantile Exchange,2018-04-24T00:00:00Z,66871,114442,87566,38773,373122,174703,2533,80409,50008,361887,-107832,111909,7157,-11235,11235,1951,-8394,6197,665,5537,-3205,610,3926,-912,7113,5156,-9004,2271,1577,-1576,16.2,27.8,21.3,9.4,90.6,42.4,0.6,19.5,12.1,87.9,135,31,121,NA,365,158,11,104,NA,359,411895,6202
Live Cattle - Chicago Mercantile Exchange,2018-05-01T00:00:00Z,75056,113610,75950,42095,378347,171326,2440,81568,51378,369064,-96270,111170,-5618,-9283,9283,-1002,-832,-2429,3322,5225,-3378,-93,1159,1370,7177,2376,-739,-3588,1952,-1952,17.9,27,18.1,10,90,40.7,0.6,19.4,12.2,87.8,136,31,118,NA,367,156,10,109,NA,361,420442,8547
Live Cattle - Chicago Mercantile Exchange,2018-05-08T00:00:00Z,76437,115297,79827,40752,387389,175708,1848,83833,50924,377217,-99271,113449,-4006,-10172,10172,1381,1687,3876,-1343,9043,4382,-592,2265,-454,8153,-3001,2279,1611,-889,890,17.9,26.9,18.6,9.5,90.5,41,0.4,19.6,11.9,88.1,138,29,124,NA,365,158,10,104,NA,363,428141,7699
Live Cattle - Chicago Mercantile Exchange,2018-05-15T00:00:00Z,79050,116335,77616,43915,388458,175443,1529,87774,52169,380204,-96393,114806,-10158,-8254,8254,2613,1038,-2210,3163,1069,-265,-318,3941,1245,2986,2878,1356,-6151,1918,-1917,18.3,26.9,18,10.2,89.8,40.6,0.4,20.3,12.1,87.9,147,29,115,NA,373,157,8,122,NA,371,432373,4232
Live Cattle - Chicago Mercantile Exchange,2018-05-22T00:00:00Z,75825,115279,78718,43392,388234,173634,1604,88361,49615,382011,-97809,113675,-9643,-6223,6223,-3225,-1056,1102,-523,-224,-1809,75,587,-2554,1807,-1416,-1131,515,2031,-2031,17.6,26.7,18.2,10.1,89.9,40.2,0.4,20.5,11.5,88.5,149,29,125,NA,382,159,9,115,NA,375,431625,747
Live Cattle - Chicago Mercantile Exchange,2018-05-29T00:00:00Z,75165,120264,80112,41563,383222,171810,7207,87938,50148,374637,-96645,113057,-7826,-8585,8585,-660,4985,1394,-1829,-5011,-1823,5603,-423,534,-7374,1163,-618,1817,-2363,2363,17.7,28.3,18.9,9.8,90.2,40.4,1.7,20.7,11.8,88.2,143,31,127,NA,376,151,11,103,NA,360,424785,-6840
Live Cattle - Chicago Mercantile Exchange,2018-06-05T00:00:00Z,66776,115457,77557,37068,347400,159834,9675,81256,46092,338375,-93058,105782,-3699,-9024,9025,-8389,-4807,-2555,-4495,-35822,-11976,2468,-6682,-4056,-36261,3587,-7275,4127,-439,439,17.4,30,20.2,9.6,90.4,41.6,2.5,21.1,12,88,128,31,126,NA,359,141,10,101,NA,346,384468,-40317
Live Cattle - Chicago Mercantile Exchange,2018-06-12T00:00:00Z,64703,114704,80840,33397,349831,159734,8848,78529,46532,336696,-95031,105856,2311,-13135,13135,-2073,-753,3283,-3670,2431,-100,-827,-2726,439,-1679,-1973,74,6009,-4109,4110,16.9,29.9,21.1,8.7,91.3,41.7,2.3,20.5,12.1,87.9,124,32,118,NA,356,136,10,102,NA,337,383228,-1239
Live Cattle - Chicago Mercantile Exchange,2018-06-19T00:00:00Z,57512,119960,77653,32926,345434,158693,10141,73018,46199,332161,-101181,109819,4635,-13273,13273,-7191,5256,-3187,-471,-4398,-1041,1293,-5512,-333,-4536,-6150,3963,2325,-138,138,15.2,31.7,20.5,8.7,91.3,41.9,2.7,19.3,12.2,87.8,113,34,113,NA,338,131,12,98,NA,323,378359,-4869
Live Cattle - Chicago Mercantile Exchange,2018-06-26T00:00:00Z,60075,122180,76465,33512,349962,162603,11634,71460,46535,336939,-102528,110546,5005,-13023,13023,2563,2220,-1188,586,4528,3909,1493,-1558,336,4779,-1346,727,370,250,-251,15.7,31.9,19.9,8.7,91.3,42.4,3,18.6,12.1,87.9,114,34,111,NA,336,130,11,104,NA,324,383474,5115
Live Cattle - Chicago Mercantile Exchange,2018-07-03T00:00:00Z,53020,128169,76006,31869,346213,163401,13730,67455,44479,333603,-110381,114439,8551,-12610,12610,-7055,5989,-459,-1643,-3749,798,2095,-4005,-2056,-3336,-7853,3894,3546,413,-413,14,33.9,20.1,8.4,91.6,43.2,3.6,17.8,11.8,88.2,114,36,111,NA,337,133,14,97,NA,320,378082,-5392
Live Cattle - Chicago Mercantile Exchange,2018-07-10T00:00:00Z,50926,124971,77923,32317,340805,177179,13988,49611,45359,327762,-126253,110983,28312,-13042,13043,-2094,-3198,1917,448,-5408,13778,258,-17844,880,-5840,-15872,-3456,19761,-432,432,13.6,33.5,20.9,8.7,91.3,47.5,3.7,13.3,12.2,87.8,115,36,116,NA,335,132,13,89,NA,314,373122,-4960
Live Cattle - Chicago Mercantile Exchange,2018-07-17T00:00:00Z,52523,135144,65585,34099,340953,177822,15121,47686,46723,328329,-125299,120023,17899,-12624,12624,1597,10173,-12338,1782,148,643,1134,-1926,1363,567,954,9039,-10412,419,-419,14,36,17.5,9.1,90.9,47.4,4,12.7,12.5,87.5,114,47,106,NA,335,129,16,88,NA,309,375052,1930
Live Cattle - Chicago Mercantile Exchange,2018-07-24T00:00:00Z,51400,133550,66915,31378,334677,183822,11721,39858,47842,318213,-132422,121829,27057,-16464,16464,-1124,-1594,1330,-2721,-6276,6000,-3401,-7828,1120,-10116,-7124,1807,9158,-3841,3840,14,36.5,18.3,8.6,91.4,50.2,3.2,10.9,13.1,86.9,115,48,106,NA,346,141,17,89,NA,321,366055,-8997
Live Cattle - Chicago Mercantile Exchange,2018-07-31T00:00:00Z,50134,132214,64928,31169,330977,187046,8786,35031,47583,314564,-136912,123428,29897,-16414,16413,-1265,-1336,-1987,-209,-3700,3224,-2935,-4828,-260,-3649,-4489,1599,2841,51,-51,13.8,36.5,17.9,8.6,91.4,51.6,2.4,9.7,13.1,86.9,111,46,109,NA,337,137,16,82,NA,316,362146,-3909
Live Cattle - Chicago Mercantile Exchange,2018-08-07T00:00:00Z,45065,129460,67506,31572,307059,189829,4148,31809,47817,290814,-144764,125312,35697,-16245,16245,-5069,-2754,2578,403,-23919,2783,-4637,-3221,234,-23750,-7852,1883,5799,169,-169,13.3,38.2,19.9,9.3,90.7,56.1,1.2,9.4,14.1,85.9,106,46,110,NA,331,137,10,77,NA,301,338631,-23515
Live Cattle - Chicago Mercantile Exchange,2018-08-14T00:00:00Z,46432,130880,64651,32886,305622,191198,4395,31767,47490,291018,-144766,126485,32884,-14604,14604,1367,1420,-2855,1313,-1437,1369,247,-43,-327,204,-2,1173,-2812,1640,-1641,13.7,38.7,19.1,9.7,90.3,56.5,1.3,9.4,14,86,111,46,94,NA,326,145,11,88,NA,312,338508,123
Live Cattle - Chicago Mercantile Exchange,2018-08-21T00:00:00Z,46530,127669,69127,32066,306055,193835,4662,28252,48643,289478,-147305,123007,40875,-16577,16577,97,-3211,4476,-819,433,2637,267,-3514,1153,-1539,-2540,-3478,7990,-1972,1972,13.8,37.8,20.4,9.5,90.5,57.3,1.4,8.4,14.4,85.6,111,46,110,NA,333,145,12,79,NA,312,338122,386
Live Cattle - Chicago Mercantile Exchange,2018-08-28T00:00:00Z,46511,128174,67960,30471,311371,191928,4967,30365,45857,295986,-145417,123207,37595,-15386,15385,-18,505,-1167,-1596,5316,-1907,305,2112,-2787,6507,1889,200,-3279,1191,-1191,13.6,37.5,19.9,8.9,91.1,56.1,1.5,8.9,13.4,86.6,112,46,105,NA,333,142,15,89,NA,322,341842,3721
Live Cattle - Chicago Mercantile Exchange,2018-09-04T00:00:00Z,44723,129615,70921,30390,317186,191150,6217,32310,45970,301605,-146427,123398,38611,-15580,15581,-1788,1441,2960,-81,5814,-778,1250,1946,114,5619,-1010,191,1014,-195,195,12.9,37.3,20.4,8.7,91.3,55,1.8,9.3,13.2,86.8,113,46,113,NA,338,143,14,84,NA,320,347575,5733
Live Cattle - Chicago Mercantile Exchange,2018-09-11T00:00:00Z,44060,125877,67969,32185,311741,182574,5392,34286,47839,296087,-138514,120485,33683,-15654,15654,-663,-3738,-2951,1796,-5445,-8576,-825,1976,1869,-5518,7913,-2913,-4927,-73,73,12.8,36.6,19.8,9.4,90.6,53.1,1.6,10,13.9,86.1,112,43,107,NA,330,143,13,86,NA,319,343926,-3649
