Year,Bank,Sector,Region,USDmillions
2019,Citigroup,Rubber,Southeast Asia,110.014759
2020,Citigroup,Rubber,Southeast Asia,664.855352
2021,Citigroup,Rubber,Southeast Asia,28.390971
2013,UBS,Rubber,Southeast Asia,60.221473
2015,UBS,Rubber,Southeast Asia,5.340656
2016,UBS,Rubber,Southeast Asia,15.835183
2014,UBS,Rubber,Southeast Asia,3.114137
2017,UBS,Rubber,Southeast Asia,0
2018,UBS,Rubber,Southeast Asia,49.727709
2019,UBS,Rubber,Southeast Asia,19.627659
2020,UBS,Rubber,Southeast Asia,653.725663
2021,UBS,Rubber,Southeast Asia,14.015211
2013,China International Capital Corporation,Rubber,Southeast Asia,64.604393
2015,China International Capital Corporation,Rubber,Southeast Asia,0
2016,China International Capital Corporation,Rubber,Southeast Asia,0
2014,China International Capital Corporation,Rubber,Southeast Asia,0
2017,China International Capital Corporation,Rubber,Southeast Asia,0
2018,China International Capital Corporation,Rubber,Southeast Asia,0
2019,China International Capital Corporation,Rubber,Southeast Asia,0
2020,China International Capital Corporation,Rubber,Southeast Asia,699.501134
2021,China International Capital Corporation,Rubber,Southeast Asia,44.226741000000004
2013,SMBC Group,Rubber,Southeast Asia,17.523745
2015,SMBC Group,Rubber,Southeast Asia,37.637602
2016,SMBC Group,Rubber,Southeast Asia,47.066252
2014,SMBC Group,Rubber,Southeast Asia,75.40451300000001
2017,SMBC Group,Rubber,Southeast Asia,30.665228
2018,SMBC Group,Rubber,Southeast Asia,68.053196
2019,SMBC Group,Rubber,Southeast Asia,71.065352
2020,SMBC Group,Rubber,Southeast Asia,80.742423
2021,SMBC Group,Rubber,Southeast Asia,262.911557
2013,Mizuho Financial,Rubber,Southeast Asia,91.308798
2015,Mizuho Financial,Rubber,Southeast Asia,50.924957
2016,Mizuho Financial,Rubber,Southeast Asia,63.039389
2014,Mizuho Financial,Rubber,Southeast Asia,112.361775
2017,Mizuho Financial,Rubber,Southeast Asia,70.076567
2018,Mizuho Financial,Rubber,Southeast Asia,78.031023
2019,Mizuho Financial,Rubber,Southeast Asia,38.496245
2020,Mizuho Financial,Rubber,Southeast Asia,92.031504
2021,Mizuho Financial,Rubber,Southeast Asia,46.290411999999996
2013,Bank of Ningbo,Rubber,Southeast Asia,0
2015,Bank of Ningbo,Rubber,Southeast Asia,0
2016,Bank of Ningbo,Rubber,Southeast Asia,2.2154499999999997
2014,Bank of Ningbo,Rubber,Southeast Asia,0
2017,Bank of Ningbo,Rubber,Southeast Asia,4.183331
2018,Bank of Ningbo,Rubber,Southeast Asia,2.435692
