Country,Code,Year,Region,Sector,USDmillions
China,CHN,2019,Latin America,Soy,502.817721
China,CHN,2019,Southeast Asia,Palm oil,424.887683
China,CHN,2019,Southeast Asia,Pulp & paper,524.166049
China,CHN,2019,Southeast Asia,Rubber,532.736366
China,CHN,2019,Southeast Asia,Timber,54.178423
China,CHN,2019,Southeast Asia,Beef,NA
China,CHN,2019,Southeast Asia,Soy,3.17596
Brazil,BRA,2019,Latin America,Palm oil,6.70891
Brazil,BRA,2019,Latin America,Pulp & paper,2547.23959
Brazil,BRA,2019,Latin America,Rubber,19.196777
Brazil,BRA,2019,Latin America,Timber,87.377454
Brazil,BRA,2019,Latin America,Beef,9247.222543
Brazil,BRA,2019,Latin America,Soy,6743.025962
Brazil,BRA,2019,Southeast Asia,Palm oil,0.872833
Brazil,BRA,2019,Southeast Asia,Pulp & paper,NA
Brazil,BRA,2019,Southeast Asia,Rubber,NA
Brazil,BRA,2019,Southeast Asia,Timber,NA
Brazil,BRA,2019,Southeast Asia,Beef,NA
Brazil,BRA,2019,Southeast Asia,Soy,0.002208
Belgium,BEL,2019,Latin America,Palm oil,0.007377
Belgium,BEL,2019,Latin America,Pulp & paper,NA
Belgium,BEL,2019,Latin America,Rubber,NA
Belgium,BEL,2019,Latin America,Timber,NA
Belgium,BEL,2019,Latin America,Beef,NA
Belgium,BEL,2019,Latin America,Soy,1.753209
Belgium,BEL,2019,Southeast Asia,Palm oil,1.271123
Belgium,BEL,2019,Southeast Asia,Pulp & paper,NA
Belgium,BEL,2019,Southeast Asia,Rubber,NA
Belgium,BEL,2019,Southeast Asia,Timber,NA
Belgium,BEL,2019,Southeast Asia,Beef,NA
Belgium,BEL,2019,Southeast Asia,Soy,0.183933
South Korea,KOR,2019,Latin America,Palm oil,0.001918
South Korea,KOR,2019,Latin America,Pulp & paper,NA
South Korea,KOR,2019,Latin America,Rubber,NA
South Korea,KOR,2019,Latin America,Timber,1.527824
South Korea,KOR,2019,Latin America,Beef,NA
South Korea,KOR,2019,Latin America,Soy,0.145424
South Korea,KOR,2019,Southeast Asia,Palm oil,85.008133
South Korea,KOR,2019,Southeast Asia,Pulp & paper,45.440705
South Korea,KOR,2019,Southeast Asia,Rubber,44
South Korea,KOR,2019,Southeast Asia,Timber,1.527824
South Korea,KOR,2019,Southeast Asia,Beef,NA
South Korea,KOR,2019,Southeast Asia,Soy,0.327531
Cyprus,CYP,2019,Latin America,Palm oil,NA
Cyprus,CYP,2019,Latin America,Pulp & paper,NA
Cyprus,CYP,2019,Latin America,Rubber,NA
Cyprus,CYP,2019,Latin America,Timber,NA
Cyprus,CYP,2019,Latin America,Beef,NA
Cyprus,CYP,2019,Latin America,Soy,NA
Cyprus,CYP,2019,Southeast Asia,Palm oil,NA
Cyprus,CYP,2019,Southeast Asia,Pulp & paper,NA
Cyprus,CYP,2019,Southeast Asia,Rubber,NA
Cyprus,CYP,2019,Southeast Asia,Timber,NA
Cyprus,CYP,2019,Southeast Asia,Beef,NA
Cyprus,CYP,2019,Southeast Asia,Soy,NA
Jordan,JOR,2019,Latin America,Palm oil,NA
Jordan,JOR,2019,Latin America,Pulp & paper,NA
Jordan,JOR,2019,Latin America,Rubber,NA
Jordan,JOR,2019,Latin America,Timber,NA
Jordan,JOR,2019,Latin America,Beef,NA
Jordan,JOR,2019,Latin America,Soy,NA
Jordan,JOR,2019,Southeast Asia,Palm oil,NA
Jordan,JOR,2019,Southeast Asia,Pulp & paper,NA
Jordan,JOR,2019,Southeast Asia,Rubber,NA
Jordan,JOR,2019,Southeast Asia,Timber,NA
Jordan,JOR,2019,Southeast Asia,Beef,NA
Jordan,JOR,2019,Southeast Asia,Soy,NA
South Africa,ZAF,2019,Latin America,Palm oil,NA
South Africa,ZAF,2019,Latin America,Pulp & paper,NA
South Africa,ZAF,2019,Latin America,Rubber,NA
South Africa,ZAF,2019,Latin America,Timber,NA
South Africa,ZAF,2019,Latin America,Beef,NA
South Africa,ZAF,2019,Latin America,Soy,0.69301
South Africa,ZAF,2019,Southeast Asia,Palm oil,NA
South Africa,ZAF,2019,Southeast Asia,Pulp & paper,NA
South Africa,ZAF,2019,Southeast Asia,Rubber,NA
South Africa,ZAF,2019,Southeast Asia,Timber,NA
South Africa,ZAF,2019,Southeast Asia,Beef,NA
South Africa,ZAF,2019,Southeast Asia,Soy,NA
Sweden,SWE,2019,Latin America,Palm oil,NA
Sweden,SWE,2019,Latin America,Pulp & paper,3.51396
Sweden,SWE,2019,Latin America,Rubber,NA
Sweden,SWE,2019,Latin America,Timber,1.019893
Sweden,SWE,2019,Latin America,Beef,0.608973
Sweden,SWE,2019,Latin America,Soy,0.175854
Sweden,SWE,2019,Southeast Asia,Palm oil,NA
Sweden,SWE,2019,Southeast Asia,Pulp & paper,NA
Sweden,SWE,2019,Southeast Asia,Rubber,NA
Sweden,SWE,2019,Southeast Asia,Timber,NA
Sweden,SWE,2019,Southeast Asia,Beef,NA
Sweden,SWE,2019,Southeast Asia,Soy,NA
Philippines,PHL,2019,Latin America,Palm oil,NA
Philippines,PHL,2019,Latin America,Pulp & paper,NA
Philippines,PHL,2019,Latin America,Rubber,NA
Philippines,PHL,2019,Latin America,Timber,NA
Philippines,PHL,2019,Latin America,Beef,NA
Philippines,PHL,2019,Latin America,Soy,NA
Philippines,PHL,2019,Southeast Asia,Palm oil,29.200805
Philippines,PHL,2019,Southeast Asia,Pulp & paper,NA
Philippines,PHL,2019,Southeast Asia,Rubber,25
Philippines,PHL,2019,Southeast Asia,Timber,NA
Philippines,PHL,2019,Southeast Asia,Beef,NA
Philippines,PHL,2019,Southeast Asia,Soy,NA
Chile,CHL,2019,Latin America,Palm oil,NA
Chile,CHL,2019,Latin America,Pulp & paper,NA
Chile,CHL,2019,Latin America,Rubber,NA
Chile,CHL,2019,Latin America,Timber,NA
Chile,CHL,2019,Latin America,Beef,NA
Chile,CHL,2019,Latin America,Soy,NA
Chile,CHL,2019,Southeast Asia,Palm oil,NA
Chile,CHL,2019,Southeast Asia,Pulp & paper,NA
Chile,CHL,2019,Southeast Asia,Rubber,NA
Chile,CHL,2019,Southeast Asia,Timber,NA
Chile,CHL,2019,Southeast Asia,Beef,NA
Chile,CHL,2019,Southeast Asia,Soy,NA
Qatar,QAT,2019,Latin America,Palm oil,NA
Qatar,QAT,2019,Latin America,Pulp & paper,NA
Qatar,QAT,2019,Latin America,Rubber,NA
Qatar,QAT,2019,Latin America,Timber,NA
Qatar,QAT,2019,Latin America,Beef,NA
Qatar,QAT,2019,Latin America,Soy,NA
Qatar,QAT,2019,Southeast Asia,Palm oil,14.941078
Qatar,QAT,2019,Southeast Asia,Pulp & paper,44.243612
Qatar,QAT,2019,Southeast Asia,Rubber,NA
